Expertise,Mode,Winner,Loser
novice,tradeN,228,150
novice,tradeN,228,254
novice,tradeN,228,306
novice,tradeN,228,163
novice,tradeN,228,330
novice,tradeN,228,38
novice,tradeN,228,191
novice,tradeN,228,328
novice,tradeN,228,261
novice,tradeN,228,136
novice,tradeN,228,234
novice,tradeN,228,25
novice,tradeN,228,182
novice,tradeN,228,103
novice,tradeN,228,123
novice,tradeN,228,159
novice,tradeN,228,134
novice,tradeN,228,220
novice,tradeN,228,178
novice,tradeN,228,244
novice,tournamentN,108,264
novice,tournamentN,314,47
novice,tournamentN,17,164
novice,tournamentN,209,180
novice,tournamentN,142,w19
novice,tournamentN,224,21
novice,tournamentN,217,w14
novice,tournamentN,w16,w0
novice,tournamentN,230,292
novice,tournamentN,175,259
novice,tournamentN,89,213
novice,tournamentN,44,141
novice,tournamentN,196,128
novice,tournamentN,135,197
novice,tournamentN,242,101
novice,tournamentN,93,41
novice,tournamentN,17,135
novice,tournamentN,217,44
novice,tournamentN,89,209
novice,tournamentN,142,242
novice,tournamentN,230,196
novice,tournamentN,93,108
novice,tournamentN,w16,314
novice,tournamentN,224,175
novice,tournamentN,230,142
novice,tournamentN,224,w16
novice,tournamentN,93,217
novice,tournamentN,17,89
novice,tournamentN,230,224
novice,tournamentN,93,17
novice,tournamentN,230,93
novice,tradeN,19,76
novice,tradeN,19,328
novice,tradeN,19,323
novice,tradeN,w16,19
novice,tradeN,w16,78
novice,tradeN,w16,149
novice,tradeN,184,w16
novice,tradeN,184,59
novice,tradeN,184,70
novice,tradeN,199,184
novice,tradeN,199,150
novice,tradeN,199,326
novice,tradeN,199,2
novice,tradeN,113,199
novice,tradeN,113,261
novice,tradeN,207,113
novice,tradeN,207,108
novice,tradeN,207,55
novice,tradeN,207,218
novice,tradeN,207,267
novice,tradeN,172,207
novice,tradeN,172,80
novice,tradeN,172,92
novice,tradeN,172,67
novice,tradeN,172,36
novice,tradeN,172,210
novice,tradeN,172,211
novice,tradeN,172,109
novice,tradeN,172,286
novice,tradeN,172,66
novice,tradeN,302,172
novice,tournamentN,343,322
novice,tournamentN,262,37
novice,tournamentN,156,41
novice,tournamentN,224,35
novice,tournamentN,9,23
novice,tournamentN,155,214
novice,tournamentN,330,264
novice,tournamentN,131,311
novice,tournamentN,124,164
novice,tournamentN,260,347
novice,tournamentN,w1,107
novice,tournamentN,329,w4
novice,tournamentN,297,154
novice,tournamentN,57,82
novice,tournamentN,336,233
novice,tournamentN,136,192
novice,tournamentN,262,136
novice,tournamentN,343,9
novice,tournamentN,124,224
novice,tournamentN,336,260
novice,tournamentN,155,156
novice,tournamentN,297,57
novice,tournamentN,w1,329
novice,tournamentN,330,131
novice,tournamentN,124,155
novice,tournamentN,336,343
novice,tournamentN,w1,262
novice,tournamentN,297,330
novice,tournamentN,336,124
novice,tournamentN,w1,297
novice,tournamentN,w1,336
novice,tradeN,177,328
novice,tradeN,335,177
novice,tradeN,338,335
novice,tradeN,338,197
novice,tradeN,338,97
novice,tradeN,145,338
novice,tradeN,w9,145
novice,tradeN,w9,332
novice,tradeN,w9,65
novice,tradeN,w9,306
novice,tradeN,w9,224
novice,tradeN,w9,125
novice,tradeN,w9,266
novice,tradeN,w9,213
novice,tradeN,w9,223
novice,tradeN,w9,289
novice,tradeN,w9,24
novice,tradeN,w9,273
novice,tradeN,w9,276
novice,tradeN,w9,248
novice,tradeN,w9,w4
novice,tradeN,w9,321
novice,tradeN,w9,56
novice,tradeN,w9,162
novice,tradeN,w9,305
novice,tradeN,w9,189
novice,tradeN,w9,128
novice,tradeN,w9,207
novice,tradeN,w9,206
novice,tradeN,w9,187
novice,tradeN,w9,29
novice,tournamentN,334,295
novice,tournamentN,231,81
novice,tournamentN,211,313
novice,tournamentN,90,311
novice,tournamentN,282,293
novice,tournamentN,228,283
novice,tournamentN,175,210
novice,tournamentN,73,259
novice,tournamentN,100,144
novice,tournamentN,89,212
novice,tournamentN,267,195
novice,tournamentN,209,63
novice,tournamentN,104,180
novice,tournamentN,319,82
novice,tournamentN,45,194
novice,tournamentN,237,1
novice,tournamentN,45,104
novice,tournamentN,89,319
novice,tournamentN,100,228
novice,tournamentN,334,73
novice,tournamentN,231,90
novice,tournamentN,267,175
novice,tournamentN,282,237
novice,tournamentN,211,209
novice,tournamentN,267,211
novice,tournamentN,282,231
novice,tournamentN,334,100
novice,tournamentN,89,45
novice,tournamentN,334,282
novice,tournamentN,89,267
novice,tournamentN,334,89
novice,tradeN,254,63
novice,tradeN,340,254
novice,tradeN,340,136
novice,tradeN,w18,340
novice,tradeN,w18,277
novice,tradeN,w18,61
novice,tradeN,w18,269
novice,tradeN,w18,123
novice,tradeN,w18,w11
novice,tradeN,w18,70
novice,tradeN,w18,149
novice,tradeN,w18,311
novice,tradeN,w18,95
novice,tradeN,w18,5
novice,tradeN,w18,29
novice,tradeN,w18,22
novice,tradeN,w18,283
novice,tradeN,w18,134
novice,tradeN,w18,315
novice,tradeN,w18,222
novice,tradeN,w18,181
novice,tradeN,w18,30
novice,tradeN,w18,21
novice,tradeN,w18,141
novice,tradeN,332,w18
novice,tradeN,332,185
novice,tradeN,332,44
novice,tradeN,158,332
novice,tradeN,158,322
novice,tradeN,37,158
novice,tradeN,37,19
novice,tournamentN,262,324
novice,tournamentN,310,226
novice,tournamentN,148,72
novice,tournamentN,294,79
novice,tournamentN,274,8
novice,tournamentN,w16,242
novice,tournamentN,74,281
novice,tournamentN,273,323
novice,tournamentN,97,34
novice,tournamentN,98,240
novice,tournamentN,92,194
novice,tournamentN,329,143
novice,tournamentN,317,176
novice,tournamentN,302,26
novice,tournamentN,43,23
novice,tournamentN,255,146
novice,tournamentN,317,273
novice,tournamentN,w16,43
novice,tournamentN,329,92
novice,tournamentN,255,97
novice,tournamentN,294,74
novice,tournamentN,302,98
novice,tournamentN,262,274
novice,tournamentN,310,148
novice,tournamentN,329,w16
novice,tournamentN,317,255
novice,tournamentN,262,310
novice,tournamentN,302,294
novice,tournamentN,302,262
novice,tournamentN,329,317
novice,tournamentN,329,302
expert,tradeN,107,287
expert,tradeN,107,82
expert,tradeN,107,189
expert,tradeN,107,91
expert,tradeN,298,107
expert,tradeN,298,199
expert,tradeN,298,191
expert,tradeN,298,133
expert,tradeN,298,79
expert,tradeN,298,33
expert,tradeN,298,147
expert,tradeN,298,348
expert,tradeN,298,146
expert,tradeN,298,245
expert,tradeN,298,43
expert,tradeN,298,337
expert,tradeN,298,227
expert,tradeN,298,277
expert,tradeN,298,51
expert,tradeN,298,120
expert,tradeN,298,310
expert,tradeN,298,258
expert,tradeN,298,293
expert,tradeN,298,321
expert,tradeN,298,157
expert,tradeN,298,w14
expert,tradeN,298,282
expert,tradeN,298,47
expert,tradeN,298,208
expert,tradeN,298,318
expert,tradeN,298,253
expert,tournamentN,61,156
expert,tournamentN,w10,259
expert,tournamentN,214,255
expert,tournamentN,211,20
expert,tournamentN,45,179
expert,tournamentN,135,190
expert,tournamentN,93,212
expert,tournamentN,46,262
expert,tournamentN,142,131
expert,tournamentN,108,218
expert,tournamentN,w15,41
expert,tournamentN,2,312
expert,tournamentN,228,w11
expert,tournamentN,182,306
expert,tournamentN,94,236
expert,tournamentN,69,159
expert,tournamentN,142,2
expert,tournamentN,w15,211
expert,tournamentN,46,w10
expert,tournamentN,45,108
expert,tournamentN,182,214
expert,tournamentN,93,61
expert,tournamentN,135,94
expert,tournamentN,228,69
expert,tournamentN,182,142
expert,tournamentN,93,46
expert,tournamentN,45,228
expert,tournamentN,135,w15
expert,tournamentN,135,45
expert,tournamentN,93,182
expert,tournamentN,93,135
novice,tradeN,209,0
novice,tradeN,199,209
novice,tradeN,106,199
novice,tradeN,106,28
novice,tradeN,106,7
novice,tradeN,106,341
novice,tradeN,106,241
novice,tradeN,106,213
novice,tradeN,106,14
novice,tradeN,106,160
novice,tradeN,106,147
novice,tradeN,106,227
novice,tradeN,106,177
novice,tradeN,106,25
novice,tradeN,106,280
novice,tradeN,106,203
novice,tradeN,106,219
novice,tradeN,106,237
novice,tradeN,106,304
novice,tradeN,231,106
novice,tradeN,231,247
novice,tradeN,231,78
novice,tradeN,231,322
novice,tradeN,231,120
novice,tradeN,231,212
novice,tradeN,231,19
novice,tradeN,231,174
novice,tradeN,231,347
novice,tradeN,231,123
novice,tradeN,231,50
novice,tradeN,231,223
novice,tournamentN,w1,316
novice,tournamentN,132,218
novice,tournamentN,182,306
novice,tournamentN,184,140
novice,tournamentN,102,55
novice,tournamentN,152,37
novice,tournamentN,204,273
novice,tournamentN,255,305
novice,tournamentN,118,63
novice,tournamentN,266,29
novice,tournamentN,172,49
novice,tournamentN,26,153
novice,tournamentN,103,107
novice,tournamentN,2,196
novice,tournamentN,151,48
novice,tournamentN,113,264
novice,tournamentN,266,172
novice,tournamentN,118,151
novice,tournamentN,184,204
novice,tournamentN,113,2
novice,tournamentN,26,182
novice,tournamentN,255,132
novice,tournamentN,103,w1
novice,tournamentN,102,152
novice,tournamentN,184,255
novice,tournamentN,113,102
novice,tournamentN,266,26
novice,tournamentN,103,118
novice,tournamentN,113,103
novice,tournamentN,266,184
novice,tournamentN,266,113
expert,tradeN,201,69
expert,tradeN,w8,201
expert,tradeN,w8,130
expert,tradeN,58,w8
expert,tradeN,58,5
expert,tradeN,58,94
expert,tradeN,58,77
expert,tradeN,58,181
expert,tradeN,58,196
expert,tradeN,58,168
expert,tradeN,58,317
expert,tradeN,58,83
expert,tradeN,58,254
expert,tradeN,58,102
expert,tradeN,58,57
expert,tradeN,58,289
expert,tradeN,58,182
expert,tradeN,58,18
expert,tradeN,58,223
expert,tradeN,58,248
expert,tradeN,58,92
expert,tradeN,58,105
expert,tradeN,58,239
expert,tradeN,58,320
expert,tradeN,142,58
expert,tradeN,142,62
expert,tradeN,142,131
expert,tradeN,142,w16
expert,tradeN,142,90
expert,tradeN,142,51
expert,tradeN,142,277
expert,tournamentN,100,241
expert,tournamentN,156,189
expert,tournamentN,173,34
expert,tournamentN,60,56
expert,tournamentN,228,2
expert,tournamentN,w0,152
expert,tournamentN,197,117
expert,tournamentN,w14,29
expert,tournamentN,332,154
expert,tournamentN,89,307
expert,tournamentN,268,167
expert,tournamentN,178,184
expert,tournamentN,176,24
expert,tournamentN,269,214
expert,tournamentN,145,63
expert,tournamentN,w1,28
expert,tournamentN,100,178
expert,tournamentN,228,332
expert,tournamentN,w14,w1
expert,tournamentN,173,156
expert,tournamentN,60,145
expert,tournamentN,w0,197
expert,tournamentN,268,176
expert,tournamentN,269,89
expert,tournamentN,269,w14
expert,tournamentN,268,60
expert,tournamentN,228,173
expert,tournamentN,w0,100
expert,tournamentN,268,228
expert,tournamentN,269,w0
expert,tournamentN,269,268
novice,tradeN,121,32
novice,tradeN,121,27
novice,tradeN,89,121
novice,tradeN,89,306
novice,tradeN,89,241
novice,tradeN,89,167
novice,tradeN,89,198
novice,tradeN,89,164
novice,tradeN,89,22
novice,tradeN,89,14
novice,tradeN,89,251
novice,tradeN,89,292
novice,tradeN,89,286
novice,tradeN,89,w19
novice,tradeN,89,122
novice,tradeN,89,49
novice,tradeN,89,313
novice,tradeN,89,134
novice,tradeN,89,235
novice,tradeN,89,153
novice,tradeN,89,61
novice,tradeN,89,315
novice,tradeN,89,98
novice,tradeN,89,160
novice,tradeN,89,37
novice,tradeN,89,41
novice,tradeN,89,w5
novice,tradeN,89,45
novice,tradeN,343,89
novice,tradeN,343,44
novice,tradeN,343,30
novice,tournamentN,277,264
novice,tournamentN,129,117
novice,tournamentN,331,252
novice,tournamentN,123,195
novice,tournamentN,w14,119
novice,tournamentN,43,265
novice,tournamentN,78,279
novice,tournamentN,w2,326
novice,tournamentN,319,291
novice,tournamentN,67,85
novice,tournamentN,333,150
novice,tournamentN,188,0
novice,tournamentN,253,47
novice,tournamentN,302,186
novice,tournamentN,76,202
novice,tournamentN,130,191
novice,tournamentN,w2,188
novice,tournamentN,67,78
novice,tournamentN,333,w14
novice,tournamentN,253,277
novice,tournamentN,129,319
novice,tournamentN,43,123
novice,tournamentN,302,76
novice,tournamentN,331,130
novice,tournamentN,302,331
novice,tournamentN,333,67
novice,tournamentN,w2,253
novice,tournamentN,129,43
novice,tournamentN,302,333
novice,tournamentN,w2,129
novice,tournamentN,302,w2
expert,tradeN,258,314
expert,tradeN,258,227
expert,tradeN,258,247
expert,tradeN,258,131
expert,tradeN,258,136
expert,tradeN,258,89
expert,tradeN,258,49
expert,tradeN,258,345
expert,tradeN,258,83
expert,tradeN,258,45
expert,tradeN,258,60
expert,tradeN,258,218
expert,tradeN,258,39
expert,tradeN,258,333
expert,tradeN,258,275
expert,tradeN,258,265
expert,tradeN,258,226
expert,tradeN,258,22
expert,tradeN,258,264
expert,tradeN,258,30
expert,tradeN,258,196
expert,tradeN,258,63
expert,tradeN,258,32
expert,tradeN,258,332
expert,tradeN,258,294
expert,tradeN,258,323
expert,tradeN,258,152
expert,tradeN,258,104
expert,tradeN,258,243
expert,tradeN,258,214
expert,tradeN,258,67
expert,tournamentN,107,319
expert,tournamentN,257,349
expert,tournamentN,97,279
expert,tournamentN,90,313
expert,tournamentN,167,195
expert,tournamentN,203,236
expert,tournamentN,341,113
expert,tournamentN,149,234
expert,tournamentN,241,8
expert,tournamentN,253,23
expert,tournamentN,119,82
expert,tournamentN,274,35
expert,tournamentN,305,210
expert,tournamentN,w10,238
expert,tournamentN,346,329
expert,tournamentN,256,193
expert,tournamentN,241,203
expert,tournamentN,97,274
expert,tournamentN,119,167
expert,tournamentN,305,253
expert,tournamentN,346,90
expert,tournamentN,257,149
expert,tournamentN,341,107
expert,tournamentN,256,w10
expert,tournamentN,305,119
expert,tournamentN,346,256
expert,tournamentN,241,257
expert,tournamentN,97,341
expert,tournamentN,241,305
expert,tournamentN,346,97
expert,tournamentN,346,241
novice,tradeN,183,160
novice,tradeN,348,183
novice,tradeN,140,348
novice,tradeN,140,24
novice,tradeN,286,140
novice,tradeN,286,122
novice,tradeN,286,287
novice,tradeN,286,164
novice,tradeN,w9,286
novice,tradeN,w9,295
novice,tradeN,w9,55
novice,tradeN,w9,162
novice,tradeN,w9,w11
novice,tradeN,w9,w17
novice,tradeN,w9,204
novice,tradeN,w9,64
novice,tradeN,w9,336
novice,tradeN,w9,258
novice,tradeN,w9,26
novice,tradeN,w9,179
novice,tradeN,w9,321
novice,tradeN,w9,260
novice,tradeN,w9,197
novice,tradeN,w9,233
novice,tradeN,w9,170
novice,tradeN,w9,349
novice,tradeN,w9,17
novice,tradeN,w9,275
novice,tradeN,w9,264
novice,tradeN,w9,175
novice,tradeN,w9,223
novice,tournamentN,129,45
novice,tournamentN,169,236
novice,tournamentN,133,65
novice,tournamentN,270,139
novice,tournamentN,130,34
novice,tournamentN,51,279
novice,tournamentN,50,203
novice,tournamentN,330,69
novice,tournamentN,340,218
novice,tournamentN,92,132
novice,tournamentN,268,59
novice,tournamentN,319,0
novice,tournamentN,277,w10
novice,tournamentN,165,247
novice,tournamentN,211,72
novice,tournamentN,185,22
novice,tournamentN,169,92
novice,tournamentN,50,319
novice,tournamentN,330,277
novice,tournamentN,129,340
novice,tournamentN,270,185
novice,tournamentN,165,133
novice,tournamentN,268,130
novice,tournamentN,51,211
novice,tournamentN,270,51
novice,tournamentN,50,169
novice,tournamentN,268,330
novice,tournamentN,129,165
novice,tournamentN,270,129
novice,tournamentN,268,50
novice,tournamentN,268,270
expert,tradeN,233,220
expert,tradeN,233,326
expert,tradeN,233,44
expert,tradeN,233,98
expert,tradeN,233,229
expert,tradeN,341,233
expert,tradeN,341,222
expert,tradeN,341,18
expert,tradeN,341,27
expert,tradeN,341,15
expert,tradeN,341,183
expert,tradeN,341,106
expert,tradeN,341,306
expert,tradeN,341,101
expert,tradeN,341,103
expert,tradeN,341,193
expert,tradeN,341,278
expert,tradeN,341,243
expert,tradeN,341,218
expert,tradeN,341,54
expert,tradeN,341,206
expert,tradeN,341,130
expert,tradeN,341,35
expert,tradeN,341,w11
expert,tradeN,341,251
expert,tradeN,341,5
expert,tradeN,341,230
expert,tradeN,341,180
expert,tradeN,341,254
expert,tradeN,341,17
expert,tradeN,341,286
expert,tournamentN,21,2
expert,tournamentN,43,320
expert,tournamentN,217,156
expert,tournamentN,160,323
expert,tournamentN,224,36
expert,tournamentN,191,82
expert,tournamentN,169,56
expert,tournamentN,290,19
expert,tournamentN,w1,348
expert,tournamentN,172,37
expert,tournamentN,50,59
expert,tournamentN,338,335
expert,tournamentN,86,165
expert,tournamentN,177,190
expert,tournamentN,242,202
expert,tournamentN,161,186
expert,tournamentN,172,160
expert,tournamentN,w1,217
expert,tournamentN,338,169
expert,tournamentN,50,290
expert,tournamentN,86,177
expert,tournamentN,242,161
expert,tournamentN,224,43
expert,tournamentN,21,191
expert,tournamentN,86,224
expert,tournamentN,172,338
expert,tournamentN,50,242
expert,tournamentN,w1,21
expert,tournamentN,172,50
expert,tournamentN,w1,86
expert,tournamentN,172,w1
expert,tradeN,263,307
expert,tradeN,263,133
expert,tradeN,263,76
expert,tradeN,263,163
expert,tradeN,263,193
expert,tradeN,235,263
expert,tradeN,346,235
expert,tradeN,346,30
expert,tradeN,346,156
expert,tradeN,242,346
expert,tradeN,242,77
expert,tradeN,337,242
expert,tradeN,337,17
expert,tradeN,337,262
expert,tradeN,94,337
expert,tradeN,261,94
expert,tradeN,261,274
expert,tradeN,230,261
expert,tradeN,230,65
expert,tradeN,230,117
expert,tradeN,230,315
expert,tradeN,230,51
expert,tradeN,230,145
expert,tradeN,230,249
expert,tradeN,230,69
expert,tradeN,230,23
expert,tradeN,230,203
expert,tradeN,230,162
expert,tradeN,230,177
expert,tradeN,230,129
expert,tradeN,230,36
expert,tournamentN,243,268
expert,tournamentN,32,183
expert,tournamentN,304,131
expert,tournamentN,86,251
expert,tournamentN,290,120
expert,tournamentN,91,9
expert,tournamentN,81,49
expert,tournamentN,67,109
expert,tournamentN,281,345
expert,tournamentN,175,328
expert,tournamentN,124,169
expert,tournamentN,196,259
expert,tournamentN,195,147
expert,tournamentN,10,229
expert,tournamentN,212,108
expert,tournamentN,w17,236
expert,tournamentN,243,195
expert,tournamentN,281,w17
expert,tournamentN,212,91
expert,tournamentN,124,10
expert,tournamentN,67,304
expert,tournamentN,196,81
expert,tournamentN,290,32
expert,tournamentN,175,86
expert,tournamentN,290,124
expert,tournamentN,196,281
expert,tournamentN,212,67
expert,tournamentN,243,175
expert,tournamentN,243,196
expert,tournamentN,290,212
expert,tournamentN,290,243
expert,tradeN,145,72
expert,tradeN,145,106
expert,tradeN,145,49
expert,tradeN,145,221
expert,tradeN,145,9
expert,tradeN,145,314
expert,tradeN,145,213
expert,tradeN,145,253
expert,tradeN,145,3
expert,tradeN,145,252
expert,tradeN,145,217
expert,tradeN,145,160
expert,tradeN,w2,145
expert,tradeN,w2,245
expert,tradeN,w2,120
expert,tradeN,w2,259
expert,tradeN,w2,209
expert,tradeN,w2,15
expert,tradeN,w2,260
expert,tradeN,w2,312
expert,tradeN,w2,328
expert,tradeN,w2,317
expert,tradeN,w2,152
expert,tradeN,w2,70
expert,tradeN,w2,40
expert,tradeN,w2,176
expert,tradeN,w2,123
expert,tradeN,w2,305
expert,tradeN,w2,340
expert,tradeN,w2,299
expert,tradeN,w2,w15
expert,tournamentN,269,229
expert,tournamentN,121,100
expert,tournamentN,240,54
expert,tournamentN,50,37
expert,tournamentN,255,248
expert,tournamentN,129,65
expert,tournamentN,298,5
expert,tournamentN,315,94
expert,tournamentN,134,291
expert,tournamentN,257,69
expert,tournamentN,293,313
expert,tournamentN,247,119
expert,tournamentN,7,348
expert,tournamentN,w14,287
expert,tournamentN,268,318
expert,tournamentN,277,189
expert,tournamentN,w14,315
expert,tournamentN,268,293
expert,tournamentN,129,7
expert,tournamentN,240,50
expert,tournamentN,269,247
expert,tournamentN,298,277
expert,tournamentN,255,134
expert,tournamentN,121,257
expert,tournamentN,298,129
expert,tournamentN,268,240
expert,tournamentN,269,121
expert,tournamentN,w14,255
expert,tournamentN,298,268
expert,tournamentN,269,w14
expert,tournamentN,269,298
expert,tradeN,69,27
expert,tradeN,69,66
expert,tradeN,69,102
expert,tradeN,69,55
expert,tradeN,143,69
expert,tradeN,143,326
expert,tradeN,143,189
expert,tradeN,143,144
expert,tradeN,344,143
expert,tradeN,334,344
expert,tradeN,334,7
expert,tradeN,334,96
expert,tradeN,334,265
expert,tradeN,334,170
expert,tradeN,334,228
expert,tradeN,334,166
expert,tradeN,172,334
expert,tradeN,172,140
expert,tradeN,172,146
expert,tradeN,172,256
expert,tradeN,172,161
expert,tradeN,172,322
expert,tradeN,172,311
expert,tradeN,172,295
expert,tradeN,172,8
expert,tradeN,93,172
expert,tradeN,93,202
expert,tradeN,93,184
expert,tradeN,343,93
expert,tradeN,343,191
expert,tradeN,343,304
expert,tournamentN,314,155
expert,tournamentN,340,238
expert,tournamentN,121,287
expert,tournamentN,118,220
expert,tournamentN,289,292
expert,tournamentN,221,197
expert,tournamentN,59,264
expert,tournamentN,278,176
expert,tournamentN,281,164
expert,tournamentN,w18,217
expert,tournamentN,w15,0
expert,tournamentN,26,w19
expert,tournamentN,227,249
expert,tournamentN,89,335
expert,tournamentN,5,266
expert,tournamentN,329,240
expert,tournamentN,26,289
expert,tournamentN,281,278
expert,tournamentN,329,227
expert,tournamentN,59,314
expert,tournamentN,w18,121
expert,tournamentN,340,5
expert,tournamentN,89,w15
expert,tournamentN,118,221
expert,tournamentN,329,w18
expert,tournamentN,340,59
expert,tournamentN,118,89
expert,tournamentN,26,281
expert,tournamentN,329,340
expert,tournamentN,26,118
expert,tournamentN,26,329
novice,tradeN,269,158
novice,tradeN,269,95
novice,tradeN,269,220
novice,tradeN,269,32
novice,tradeN,269,14
novice,tradeN,278,269
novice,tradeN,278,310
novice,tradeN,278,1
novice,tradeN,278,159
novice,tradeN,278,162
novice,tradeN,278,77
novice,tradeN,278,97
novice,tradeN,278,230
novice,tradeN,278,222
novice,tradeN,278,11
novice,tradeN,278,318
novice,tradeN,278,244
novice,tradeN,278,33
novice,tradeN,278,73
novice,tradeN,278,143
novice,tradeN,278,105
novice,tradeN,334,278
novice,tradeN,334,43
novice,tradeN,334,221
novice,tradeN,334,247
novice,tradeN,334,67
novice,tradeN,334,267
novice,tradeN,334,336
novice,tradeN,334,66
novice,tradeN,334,225
novice,tradeN,334,277
novice,tournamentN,85,151
novice,tournamentN,203,227
novice,tournamentN,22,292
novice,tournamentN,80,218
novice,tournamentN,108,201
novice,tournamentN,231,193
novice,tournamentN,295,w10
novice,tournamentN,150,238
novice,tournamentN,115,213
novice,tournamentN,114,57
novice,tournamentN,226,39
novice,tournamentN,242,60
novice,tournamentN,255,48
novice,tournamentN,342,113
novice,tournamentN,181,124
novice,tournamentN,153,248
novice,tournamentN,153,255
novice,tournamentN,181,242
novice,tournamentN,226,150
novice,tournamentN,231,115
novice,tournamentN,203,22
novice,tournamentN,295,114
novice,tournamentN,342,80
novice,tournamentN,108,85
novice,tournamentN,181,153
novice,tournamentN,231,295
novice,tournamentN,226,108
novice,tournamentN,342,203
novice,tournamentN,181,231
novice,tournamentN,226,342
novice,tournamentN,181,226
expert,tradeN,342,140
expert,tradeN,342,314
expert,tradeN,342,305
expert,tradeN,342,43
expert,tradeN,342,198
expert,tradeN,178,342
expert,tradeN,178,218
expert,tradeN,178,w10
expert,tradeN,178,15
expert,tradeN,178,275
expert,tradeN,178,61
expert,tradeN,178,162
expert,tradeN,178,9
expert,tradeN,58,178
expert,tradeN,58,337
expert,tradeN,58,52
expert,tradeN,58,326
expert,tradeN,58,67
expert,tradeN,58,316
expert,tradeN,58,327
expert,tradeN,58,26
expert,tradeN,58,222
expert,tradeN,58,235
expert,tradeN,58,w9
expert,tradeN,58,211
expert,tradeN,58,227
expert,tradeN,58,339
expert,tradeN,58,224
expert,tradeN,58,20
expert,tradeN,58,130
expert,tradeN,58,157
expert,tournamentN,319,97
expert,tournamentN,250,60
expert,tournamentN,239,38
expert,tournamentN,153,179
expert,tournamentN,294,w19
expert,tournamentN,42,233
expert,tournamentN,262,266
expert,tournamentN,145,174
expert,tournamentN,37,85
expert,tournamentN,86,307
expert,tournamentN,257,80
expert,tournamentN,104,240
expert,tournamentN,344,177
expert,tournamentN,w11,304
expert,tournamentN,32,186
expert,tournamentN,70,213
expert,tournamentN,37,250
expert,tournamentN,42,239
